system,temperature,element,identifier,formula,D_reported_cm2s,D_table_einstein_cm2s,D_table_mpconv_cm2s,msd_tmax_ps
Ag-F-Li,1000.0,Li,Li2AgF3-1000K,Li2AgF3,6.13736e-05,2.0559825995406436e-05,6.167947798621931e-05,34.9
Ag-F-Li,1000.0,Ag,Li2AgF3-1000K,Li2AgF3,5.58009e-05,1.8115401037060553e-05,5.434620311118166e-05,34.9
Ag-F-Li,1000.0,F,Li2AgF3-1000K,Li2AgF3,3.85755e-05,1.1493410392633891e-05,3.448023117790167e-05,34.9
Ag-F-Li,1500.0,Li,Li2AgF3-1500K,Li2AgF3,0.000186396,6.407647969085324e-05,0.00019222943907255973,34.5
Ag-F-Li,1500.0,Ag,Li2AgF3-1500K,Li2AgF3,0.000139475,4.559760887790063e-05,0.0001367928266337019,34.5
Ag-F-Li,1500.0,F,Li2AgF3-1500K,Li2AgF3,0.000168467,4.94032446116685e-05,0.00014820973383500552,34.5
Ag-F-Li,2000.0,Li,Li2AgF3-2000K,Li2AgF3,0.000481266,0.00014478091706938815,0.0004343427512081645,30.5
Ag-F-Li,2000.0,Ag,Li2AgF3-2000K,Li2AgF3,0.000313642,0.0001096358286077192,0.0003289074858231576,30.5
Ag-F-Li,2000.0,F,Li2AgF3-2000K,Li2AgF3,0.000377374,9.865468573360589e-05,0.00029596405720081766,30.5
Ag-F-Li,2500.0,Li,Li2AgF3-2500K,Li2AgF3,0.000714291,0.0001754799750743769,0.0005264399252231307,33.3
Ag-F-Li,2500.0,Ag,Li2AgF3-2500K,Li2AgF3,0.000470895,0.00014485701463786595,0.0004345710439135979,33.3
Ag-F-Li,2500.0,F,Li2AgF3-2500K,Li2AgF3,0.000577559,0.00018907282598314962,0.0005672184779494489,33.3
Ag-Li,1000.0,Li,mp-865875,Li3Ag,0.000310414,0.00010334436509257464,0.0003100330952777239,39.2
Ag-Li,1000.0,Ag,mp-865875,Li3Ag,0.000115639,3.413574747026425e-05,0.00010240724241079276,39.2
Ag-Li,2500.0,Li,mp-865875,Li3Ag,0.00187097,0.0005454638539124946,0.0016363915617374836,34.3
Ag-Li,2500.0,Ag,mp-865875,Li3Ag,0.00134524,0.0005600414597539814,0.001680124379261944,34.3
Ag-Li,1500.0,Li,mp-865875,Li3Ag,0.000760307,0.00024191869858201202,0.0007257560957460361,32.3
Ag-Li,1500.0,Ag,mp-865875,Li3Ag,0.000457635,0.00012644579022049837,0.0003793373706614951,32.3
Ag-Li,2000.0,Li,mp-865875,Li3Ag,0.00128904,0.0003617518174869798,0.0010852554524609394,31.5
Ag-Li,2000.0,Ag,mp-865875,Li3Ag,0.00061057,0.00017140485433441758,0.0005142145630032527,31.5
Ag-Li-O,2500.0,Li,mp-996962,LiAgO2,0.000833314,0.00022752993038003622,0.0006825897911401087,17.8
Ag-Li-O,2500.0,Ag,mp-996962,LiAgO2,0.000526259,0.00018626332902290407,0.0005587899870687122,17.8
Ag-Li-O,2500.0,O,mp-996962,LiAgO2,0.000617967,0.00021335892699700235,0.0006400767809910071,17.8
Ag-Li-O,1500.0,Li,mp-996962,LiAgO2,0.000257266,9.760427135958688e-05,0.00029281281407876066,26.3
Ag-Li-O,1500.0,Ag,mp-996962,LiAgO2,0.000132026,4.2640872896950785e-05,0.00012792261869085236,26.3
Ag-Li-O,1500.0,O,mp-996962,LiAgO2,0.000149864,4.1286778964513055e-05,0.00012386033689353919,26.3
Ag-Li-O,2000.0,Li,mp-996962,LiAgO2,0.000490891,0.00016026170730367112,0.0004807851219110133,19.4
Ag-Li-O,2000.0,Ag,mp-996962,LiAgO2,0.000291201,0.00010447927587705495,0.0003134378276311649,19.4
Ag-Li-O,2000.0,O,mp-996962,LiAgO2,0.000376005,0.00012803405216122926,0.00038410215648368776,19.4
Ag-Li-O,1000.0,Li,mp-996962,LiAgO2,5.13505e-05,1.3477479654287082e-05,4.043243896286125e-05,26.5
Ag-Li-O,1000.0,Ag,mp-996962,LiAgO2,2.58108e-05,9.6017500547329e-06,2.8805250164198706e-05,26.5
Ag-Li-O,1000.0,O,mp-996962,LiAgO2,2.9502e-05,1.0039621526948494e-05,3.011886458084548e-05,26.5
Ag-Li-Si,1000.0,Li,LiSiAg-1000K,LiSiAg,7.94355e-05,2.3854068760831704e-05,7.15622062824951e-05,35.2
Ag-Li-Si,1000.0,Ag,LiSiAg-1000K,LiSiAg,7.42832e-05,2.530890375697806e-05,7.592671127093418e-05,35.2
Ag-Li-Si,1000.0,Si,LiSiAg-1000K,LiSiAg,4.56319e-05,1.6032958476514094e-05,4.8098875429542286e-05,35.2
Ag-Li-Si,1500.0,Li,LiSiAg-1500K,LiSiAg,0.000293395,8.021908228524054e-05,0.0002406572468557216,32.9
Ag-Li-Si,1500.0,Ag,LiSiAg-1500K,LiSiAg,0.000148269,4.6165462471048805e-05,0.0001384963874131464,32.9
Ag-Li-Si,1500.0,Si,LiSiAg-1500K,LiSiAg,0.000236065,8.43293052840473e-05,0.0002529879158521419,32.9
Ag-Li-Si,2000.0,Li,LiSiAg-2000K,LiSiAg,0.000638938,0.00021442060131662434,0.0006432618039498729,35.0
Ag-Li-Si,2000.0,Ag,LiSiAg-2000K,LiSiAg,0.000519476,0.00019245478474981157,0.0005773643542494347,35.0
Ag-Li-Si,2000.0,Si,LiSiAg-2000K,LiSiAg,0.000548644,0.00021724962125760616,0.0006517488637728184,35.0
Ag-Li-Si,2500.0,Li,LiSiAg-2500K,LiSiAg,0.00103866,0.00045539559193736017,0.0013661867758120805,39.9
Ag-Li-Si,2500.0,Ag,LiSiAg-2500K,LiSiAg,0.000644627,0.0001659550517370094,0.0004978651552110283,39.9
Ag-Li-Si,2500.0,Si,LiSiAg-2500K,LiSiAg,0.000706192,0.00019760603186108562,0.0005928180955832569,39.9
Ag-Li-Sn,1000.0,Li,Li12Ag3Sn-1000K,Li12Ag3Sn,0.000259443,9.133300011326378e-05,0.0002739990003397914,35.7
Ag-Li-Sn,1000.0,Ag,Li12Ag3Sn-1000K,Li12Ag3Sn,0.000116737,3.9984756783838574e-05,0.00011995427035151572,35.7
Ag-Li-Sn,1000.0,Sn,Li12Ag3Sn-1000K,Li12Ag3Sn,5.18136e-05,1.7929215937951836e-05,5.3787647813855515e-05,35.7
Ag-Li-Sn,1500.0,Li,Li12Ag3Sn-1500K,Li12Ag3Sn,0.000656922,0.00021043943839845999,0.00063131831519538,33.3
Ag-Li-Sn,1500.0,Ag,Li12Ag3Sn-1500K,Li12Ag3Sn,0.000361631,0.00010586379814495367,0.000317591394434861,33.3
Ag-Li-Sn,1500.0,Sn,Li12Ag3Sn-1500K,Li12Ag3Sn,0.000170099,4.793407500187506e-05,0.00014380222500562516,33.3
Ag-Li-Sn,2000.0,Li,Li12Ag3Sn-2000K,Li12Ag3Sn,0.00110529,0.0003155288107568479,0.0009465864322705438,31.2
Ag-Li-Sn,2000.0,Ag,Li12Ag3Sn-2000K,Li12Ag3Sn,0.000686965,0.00020978561997707306,0.0006293568599312191,31.2
Ag-Li-Sn,2000.0,Sn,Li12Ag3Sn-2000K,Li12Ag3Sn,0.000485318,0.00016124980232499813,0.0004837494069749944,31.2
Ag-Li-Sn,2500.0,Li,Li12Ag3Sn-2500K,Li12Ag3Sn,0.0017062,0.0005839730366299877,0.001751919109889963,32.0
Ag-Li-Sn,2500.0,Ag,Li12Ag3Sn-2500K,Li12Ag3Sn,0.0010044,0.00036988851061864575,0.0011096655318559372,32.0
Ag-Li-Sn,2500.0,Sn,Li12Ag3Sn-2500K,Li12Ag3Sn,0.000930509,0.00040162240459688754,0.0012048672137906628,32.0
Al-F-K-Li,2500.0,Li,mp-556996,K2LiAlF6,0.00059928,0.00011545194151715004,0.00034635582455145014,26.9
Al-F-K-Li,2500.0,Al,mp-556996,K2LiAlF6,0.000169758,9.151508976173776e-05,0.0002745452692852133,26.9
