system,T,element,D_reported,D_table_slope6,D_table_slope2
Ag-Li,1000.0,Li,0.000310414,0.00010334436509257464,0.0003100330952777239
Ag-Li,1000.0,Ag,0.000115639,3.413574747026425e-05,0.00010240724241079276
Ag-Li,2500.0,Li,0.00187097,0.0005454638539124946,0.0016363915617374836
Ag-Li,2500.0,Ag,0.00134524,0.0005600414597539814,0.001680124379261944
Ag-Li,1500.0,Li,0.000760307,0.00024191869858201202,0.0007257560957460361
Ag-Li,1500.0,Ag,0.000457635,0.00012644579022049837,0.0003793373706614951
Ag-Li,2000.0,Li,0.00128904,0.0003617518174869798,0.0010852554524609394
Ag-Li,2000.0,Ag,0.00061057,0.00017140485433441758,0.0005142145630032527
Br-Li,1000.0,Li,0.000475735,0.00017059680022192946,0.0005117904006657883
Br-Li,1000.0,Br,0.000126294,4.5419161996239204e-05,0.00013625748598871762
Br-Li,1500.0,Li,0.00107416,0.0003659532269200657,0.0010978596807601972
Br-Li,1500.0,Br,0.000474465,0.00016349821755107133,0.000490494652653214
Br-Li,2000.0,Li,0.00182531,0.0006355155779954509,0.0019065467339863529
Br-Li,2000.0,Br,0.000857997,0.0003254502505686405,0.0009763507517059214
Br-Li,2500.0,Li,0.00260449,0.0008907492475278025,0.0026722477425834075
Br-Li,2500.0,Br,0.00122745,0.00034601353679707537,0.0010380406103912261
Li-Se,1000.0,Li,0.000263488,7.712565733367084e-05,0.00023137697200101252
Li-Se,1000.0,Se,1.49094e-05,4.632179283734755e-06,1.3896537851204264e-05
Li-Se,1500.0,Li,0.00064845,0.00021764410807005442,0.0006529323242101633
Li-Se,1500.0,Se,0.000149112,5.130489407891045e-05,0.00015391468223673133
Li-Se,2000.0,Li,0.00106902,0.0003707564183039358,0.0011122692549118073
Li-Se,2000.0,Se,0.000257599,7.336945412898208e-05,0.00022010836238694624
Li-Se,2500.0,Li,0.00162648,0.0005460401312743257,0.0016381203938229771
Li-Se,2500.0,Se,0.000473199,0.00015311331103108405,0.00045933993309325215
Cl-Li,1500.0,Li,0.000745302,0.00024070538691183872,0.0007221161607355161
Cl-Li,1500.0,Cl,0.000285091,0.00010625159526440367,0.00031875478579321097
Cl-Li,2000.0,Li,0.00108852,0.0003451217374190771,0.0010353652122572312
Cl-Li,2000.0,Cl,0.000517059,0.00019150147264539424,0.0005745044179361827
Cl-Li,1000.0,Li,0.000239708,8.319157453128231e-05,0.00024957472359384697
Cl-Li,1000.0,Cl,6.23633e-05,2.0581445629492236e-05,6.174433688847671e-05
Cl-Li,2500.0,Li,0.00163241,0.0005380038655216709,0.001614011596565013
Cl-Li,2500.0,Cl,0.00072547,0.00024059301820538966,0.000721779054616169
Li-O-W,1000.0,Li,0.000266939,8.761067596761163e-05,0.0002628320279028349
Li-O-W,1000.0,O,8.30991e-05,3.135325655577623e-05,9.40597696673287e-05
Li-O-W,1000.0,W,1.35805e-05,4.538139510640254e-06,1.361441853192076e-05
Li-O-W,1500.0,Li,0.000712144,0.0002637185841994243,0.0007911557525982731
Li-O-W,1500.0,O,0.00031519,8.726744986718363e-05,0.0002618023496015509
Li-O-W,1500.0,W,1.55624e-05,3.975264196260079e-06,1.1925792588780238e-05
Li-O-W,2000.0,Li,0.00129104,0.00045213996362138993,0.0013564198908641697
Li-O-W,2000.0,O,0.000635555,0.0002629516621884967,0.00078885498656549
Li-O-W,2000.0,W,5.98354e-05,1.9621341798542778e-05,5.886402539562833e-05
Li-O-W,2500.0,Li,0.00195671,0.0007075197473030888,0.0021225592419092665
Li-O-W,2500.0,O,0.00103092,0.00030359538224717996,0.0009107861467415399
Li-O-W,2500.0,W,0.000120318,4.4331814615043606e-05,0.0001329954438451308
I-Li,1000.0,Li,0.000530717,0.00016050691533862714,0.00048152074601588143
I-Li,1000.0,I,0.000125237,3.8935500465461166e-05,0.0001168065013963835
I-Li,1500.0,Li,0.00118623,0.0003969732403030592,0.0011909197209091775
I-Li,1500.0,I,0.000251928,8.041135226774365e-05,0.00024123405680323093
I-Li,2000.0,Li,0.00190875,0.0005652220024455773,0.0016956660073367317
I-Li,2000.0,I,0.00060095,0.00020467183481445752,0.0006140155044433727
I-Li,2500.0,Li,0.00285213,0.0009451796360719813,0.0028355389082159437
I-Li,2500.0,I,0.000883685,0.0002803333389863285,0.0008410000169589856
K-Li,1000.0,Li,0.000597658,0.00017555811989744633,0.000526674359692339
K-Li,1000.0,K,0.000253104,6.642645785848744e-05,0.00019927937357546233
K-Li,1500.0,Li,0.00119915,0.0004289095622768344,0.0012867286868305033
K-Li,1500.0,K,0.000651007,0.0001069161157838654,0.0003207483473515962
K-Li,2000.0,Li,0.00214559,0.0007566680417102361,0.0022700041251307083
K-Li,2000.0,K,0.00129154,0.0006057490188218894,0.0018172470564656682
K-Li,2500.0,Li,0.00303198,0.0009979199394155379,0.002993759818246613
K-Li,2500.0,K,0.0021729,0.0006784154002363018,0.0020352462007089053
Li-Sr,1000.0,Li,0.000502822,0.00017675687209817018,0.0005302706162945105
Li-Sr,1000.0,Sr,0.000181961,6.498717062890377e-05,0.0001949615118867113
Li-Sr,1500.0,Li,0.0010639,0.00032013222339011586,0.0009603966701703476
Li-Sr,1500.0,Sr,0.00049815,0.00013230535847985958,0.00039691607543957877
Li-Sr,2000.0,Li,0.00164917,0.0005143910288020315,0.0015431730864060946
Li-Sr,2000.0,Sr,0.000844294,0.0003306398522229774,0.0009919195566689323
Li-Sr,2500.0,Li,0.00239214,0.0007123631917197677,0.002137089575159303
Li-Sr,2500.0,Sr,0.00110771,0.00027646343786451755,0.0008293903135935527
Li-O-Zr,1000.0,Li,1.96756e-05,5.6538075445230736e-06,1.696142263356922e-05
Li-O-Zr,1000.0,O,9.64656e-07,2.5924306890672166e-07,7.77729206720165e-07
Li-O-Zr,1000.0,Zr,,3.0450733000389177e-07,9.135219900116752e-07
Li-O-Zr,2000.0,Li,0.000354084,9.123995567967943e-05,0.0002737198670390383
Li-O-Zr,2000.0,O,4.16956e-05,1.407772591558227e-05,4.223317774674681e-05
Li-O-Zr,2000.0,Zr,2.33559e-05,7.887702821119946e-06,2.366310846335984e-05
Li-O-Zr,2500.0,Li,0.000585597,0.00017010244989410392,0.0005103073496823119
Li-O-Zr,2500.0,O,0.000136809,5.3616624358708014e-05,0.00016084987307612406
Li-O-Zr,2500.0,Zr,6.45206e-05,2.1497464321370253e-05,6.449239296411076e-05
Li-O-Zr,1500.0,Li,0.00010701,3.845008382671424e-05,0.00011535025148014271
Li-O-Zr,1500.0,O,1.50375e-06,4.677468306070223e-07,1.4032404918210667e-06
Li-O-Zr,1500.0,Zr,,9.367413047974937e-07,2.8102239143924807e-06
