system,formula,anion_class,n_Li,natoms,n_conv_T,med_prod_ps,min_trun_ps,med_tlag_ps,med_beta,med_block_cv,med_Dwin_spread,charge_conv_T,med_haven,D_Li_1000K,D_Li_1500K,D_Li_2000K,D_Li_2500K,blockcv_1000K,blockcv_1500K,blockcv_2000K,blockcv_2500K,Ea_eV
K-Li,K20Li90,metallic,90,110,4,27.985,5.0,1.0,1.0295,0.064,0.0805,0,0.95,0.0002429,0.0004291,0.0007566,0.0009979,0.121,0.062,0.021,0.066,0.203
Li,Li100,metallic,100,100,4,32.17,15.0,1.0,0.97,0.07250000000000001,0.0475,0,,0.0002359,0.0004033,0.0006411,0.0009886,0.136,0.067,0.078,0.021,0.197
Li-Na,Li90Na20,metallic,90,110,3,37.525000000000006,7.5,1.0,1.0215,0.074,0.116,1,1.7650000000000001,0.0002355,0.0004784,0.0006519,0.0007908,0.046,0.059,0.098,0.089,0.174
Li-Rb,Li68Rb34,metallic,68,102,4,21.825,15.0,1.0,0.9844999999999999,0.07250000000000001,0.09,0,0.25,0.0001809,0.0004575,0.0006121,0.001051,0.075,0.075,0.07,0.07,0.239
Li-Sr,Li80Sr20,metallic,80,100,4,29.465000000000003,5.0,1.0,1.0575,0.0955,0.1115,0,0.6000000000000001,0.0001768,0.0003203,0.0005148,0.0007126,0.114,0.077,0.066,0.137,0.197
Br-Li,Br25Li75,halide,75,100,3,31.445,7.5,1.0,1.072,0.067,0.10949999999999999,2,0.39,0.0001707,0.0003659,0.0006299,0.0008922,0.155,0.051,0.083,0.047,0.235
I-Li,I34Li68,halide,68,102,4,32.545,15.0,1.0,0.9225000000000001,0.20450000000000002,0.079,0,0.3,0.0001606,0.0003969,0.0005652,0.0009447,0.231,0.2,0.115,0.209,0.242
Li-Sn-Sr,Li84Sn7Sr14,metallic,84,105,4,28.03,5.0,1.0,1.1145,0.0975,0.137,0,0.16,0.0001555,0.0003237,0.0005973,0.0006433,0.096,0.048,0.123,0.099,0.214
Cu-Li,Cu20Li80,metallic,80,100,3,36.480000000000004,5.0,1.0,1.0145,0.0775,0.08149999999999999,2,0.79,0.0001404,0.0002985,0.000445,0.0008879,0.108,0.056,0.071,0.084,0.245
Li-Zr,Li80Zr20,metallic,80,100,3,31.115000000000002,10.0,1.0,1.041,0.093,0.14400000000000002,2,0.16,0.0001349,0.0003281,0.0005754,0.0005774,0.017,0.128,0.134,0.058,0.222
K-Li-Si,K10Li80Si10,network(B/C/Si/Ge),80,100,2,39.99,20.0,1.0,1.032,0.0985,0.108,1,0.67,0.0001334,0.0003668,0.0005017,0.0008846,0.112,0.121,0.03,0.085,0.257
Cr-Li,Cr25Li75,metallic,75,100,3,27.44,7.5,1.0,0.9275,0.113,0.08549999999999999,1,0.29000000000000004,0.000132,0.000259,0.000385,0.0005715,0.093,0.133,0.175,0.019,0.203
Li-Sc,Li75Sc25,metallic,75,100,4,29.505000000000003,7.5,1.0,1.0234999999999999,0.1235,0.07200000000000001,0,1.52,0.0001278,0.0002646,0.0004518,0.0006088,0.069,0.136,0.111,0.148,0.223
Ca-Li-Sn,Ca14Li84Sn7,metallic,84,105,3,27.91,7.5,1.0,0.9724999999999999,0.1055,0.078,1,0.75,0.0001267,0.0002811,0.0004608,0.0006675,0.165,0.059,0.092,0.119,0.234
Hf-Li,Hf20Li90,metallic,90,110,2,35.495000000000005,20.0,1.0,1.069,0.116,0.1405,1,0.13,0.0001266,0.0003536,0.0004858,0.0006788,0.131,0.23,0.046,0.101,0.237
B-Li,B25Li75,network(B/C/Si/Ge),75,100,3,35.41,20.0,1.0,0.9755,0.108,0.1025,1,3.5949999999999998,0.0001264,0.0002657,0.0004614,0.0005491,0.103,0.083,0.167,0.113,0.216
Li-Ta,Li80Ta20,metallic,80,100,3,35.34,10.0,1.75,0.9524999999999999,0.115,0.1515,1,0.54,0.0001252,0.0003126,0.0004091,0.0006178,0.134,0.162,0.009,0.096,0.22
Hg-Li,Hg20Li80,metallic,80,100,2,39.99,15.0,1.0,0.9924999999999999,0.076,0.08399999999999999,2,0.74,0.0001242,0.0002562,0.0003459,0.0007306,0.123,0.059,0.044,0.093,0.231
Li-W,Li80W20,metallic,80,100,3,30.21,10.0,1.0,1.055,0.1075,0.10550000000000001,2,0.365,0.0001238,0.0002611,0.0006379,0.0006572,0.124,0.05,0.131,0.091,0.256
Li-Si-Sr,Li80Si10Sr10,network(B/C/Si/Ge),80,100,3,31.16,25.0,1.0,1.004,0.086,0.11399999999999999,1,0.745,0.0001172,0.0002987,0.000356,0.0007504,0.19,0.074,0.098,0.072,0.242
Li-Ni-Sn,Li84Ni9Sn12,metallic,84,105,4,34.375,20.0,1.0,1.037,0.046,0.098,2,0.45499999999999996,0.0001153,0.0002538,0.0004797,0.0006909,0.03,0.094,0.062,0.018,0.255
Fe-Li,Fe25Li75,metallic,75,100,3,32.405,30.0,1.0,0.9929999999999999,0.1315,0.1105,1,0.74,0.0001103,0.000236,0.0005294,0.0006701,0.156,0.132,0.131,0.049,0.265
Co-Li-Si,Co14Li84Si7,network(B/C/Si/Ge),84,105,4,36.47,15.0,1.0,0.963,0.094,0.0805,0,1.19,0.0001087,0.0002542,0.0003898,0.0006292,0.198,0.089,0.099,0.05,0.243
Cd-Li,Cd25Li75,metallic,75,100,4,33.81,5.0,1.0,1.0110000000000001,0.068,0.0955,1,0.35,0.0001079,0.0002602,0.0003986,0.0005372,0.034,0.102,0.092,0.044,0.229
B-Li-Sn,B14Li84Sn7,network(B/C/Si/Ge),84,105,3,30.21,25.0,1.0,1.012,0.108,0.0935,1,0.99,0.0001053,0.0003036,0.0003917,0.0007642,0.109,0.107,0.086,0.109,0.265
Li-Si-Y,Li80Si10Y10,network(B/C/Si/Ge),80,100,4,30.325000000000003,7.5,1.0,1.0474999999999999,0.055,0.0835,2,0.7949999999999999,0.0001043,0.0002409,0.0003851,0.0006638,0.115,0.056,0.049,0.054,0.254
Ag-Li,Ag25Li75,metallic,75,100,3,33.35,5.0,1.0,0.9585,0.096,0.1435,2,0.425,0.0001034,0.0002421,0.0003619,0.0005452,0.086,0.167,0.106,0.082,0.232
Li-Mo,Li80Mo20,metallic,80,100,4,31.345,20.0,1.0,0.9975,0.08600000000000001,0.14150000000000001,1,0.5650000000000001,0.0001025,0.0003381,0.0004258,0.0005687,0.125,0.056,0.116,0.029,0.243
Li-Ni,Li80Ni20,metallic,80,100,3,32.085,5.0,1.0,0.9764999999999999,0.0925,0.1095,1,1.71,0.0001021,0.0002721,0.0003805,0.000649,0.03,0.111,0.131,0.074,0.253
Li-Ni-Si,Li84Ni14Si7,network(B/C/Si/Ge),84,105,3,32.43,20.0,1.0,0.959,0.152,0.096,0,0.35,9.834e-05,0.0003113,0.0004464,0.0006561,0.162,0.053,0.142,0.165,0.268
Li-Sc-Sn,Li96Sc15Sn9,metallic,96,120,4,29.35,7.5,1.0,0.989,0.091,0.10250000000000001,2,0.19,9.284e-05,0.0002614,0.0003967,0.0006396,0.153,0.087,0.095,0.055,0.268
Ba-Li,Ba50Li50,metallic,50,100,3,26.945,15.0,1.0,1.016,0.128,0.15250000000000002,0,1.04,9.221e-05,0.0002408,0.0004919,0.0007867,0.12,0.059,0.136,0.21,0.304
Ag-Li-Sn,Ag21Li84Sn7,metallic,84,112,3,32.675,25.0,1.0,1.005,0.097,0.07350000000000001,1,1.02,9.132e-05,0.0002104,0.0003153,0.0005841,0.121,0.053,0.073,0.144,0.25
Li-Na-Sn,Li52Na36Sn16,metallic,52,104,2,39.82,30.0,1.5,0.981,0.081,0.14500000000000002,0,0.655,8.989e-05,0.0001958,0.0004105,0.0003918,0.055,0.024,0.107,0.155,0.229
Fe-Li-Si,Fe15Li80Si5,network(B/C/Si/Ge),80,100,2,33.615,20.0,1.0,1.0010000000000001,0.097,0.14350000000000002,0,0.34,8.939e-05,0.0002696,0.0006037,0.0006944,0.106,0.16,0.088,0.057,0.307
Li-Pd-Si,Li80Pd15Si5,network(B/C/Si/Ge),80,100,2,32.519999999999996,20.0,1.0,0.942,0.053000000000000005,0.091,1,0.525,8.896e-05,0.0002306,0.0005049,0.0005718,0.038,0.085,0.017,0.068,0.279
Li-Ru,Li80Ru20,metallic,80,100,2,34.68,15.0,1.0,0.9505,0.10350000000000001,0.1315,2,0.63,8.885e-05,0.0002357,0.0003987,0.0004639,0.137,0.064,0.141,0.07,0.244
Li-O-W,Li80O15W5,oxide,80,100,4,33.545,5.0,1.0,1.04,0.11199999999999999,0.08099999999999999,1,0.235,8.767e-05,0.0002638,0.0004522,0.0007078,0.141,0.083,0.16,0.082,0.295
Cl-Li,Cl50Li50,halide,50,100,3,35.85,5.0,1.0,1.0070000000000001,0.1135,0.0905,0,1.05,8.32e-05,0.0002605,0.000345,0.0005382,0.09,0.137,0.207,0.029,0.259
Ge-Li,Ge50Li50,network(B/C/Si/Ge),50,100,3,23.695,15.0,1.0,1.022,0.1325,0.07150000000000001,2,0.99,8.24e-05,0.0001696,0.0003461,0.0004954,0.185,0.076,0.091,0.174,0.257
Li-Sn,Li108Sn20,metallic,108,128,4,34.394999999999996,10.0,1.0,0.98,0.07849999999999999,0.08049999999999999,1,0.7999999999999999,8.128e-05,0.0002503,0.000372,0.0006131,0.185,0.039,0.071,0.086,0.281
Fe-Li-Sn,Fe18Li81Sn9,metallic,81,108,4,32.815,7.5,1.0,0.965,0.0655,0.056999999999999995,0,0.66,7.895e-05,0.0001987,0.0003879,0.0005828,0.061,0.07,0.097,0.05,0.285
Cr-Li-Sn,Cr18Li81Sn9,metallic,81,108,4,32.42,20.0,1.0,1.0325,0.10400000000000001,0.126,2,0.38,7.859e-05,0.0002588,0.0003884,0.0006563,0.091,0.117,0.053,0.123,0.295
Li-Se,Li75Se25,chalcogenide,75,100,3,28.785,5.0,1.0,0.991,0.0635,0.08549999999999999,1,2.81,7.712e-05,0.0002176,0.0003861,0.0005562,0.152,0.053,0.06,0.067,0.282
Li-Re-Si,Li88Re8Si14,network(B/C/Si/Ge),88,110,2,39.315,30.0,1.0,0.972,0.12,0.077,2,3.1149999999999998,7.437e-05,0.0001882,0.0003711,0.0005849,0.126,0.122,0.086,0.118,0.292
Li-Ru-Sn,Li80Ru6Sn14,metallic,80,100,2,33.989999999999995,20.0,1.0,0.9949999999999999,0.0915,0.10250000000000001,1,0.63,7.091e-05,0.0001694,0.0004275,0.0005291,0.089,0.12,0.094,0.07,0.298
Li-Sn-Te,Li80Sn10Te10,chalcogenide,80,100,3,33.94,15.0,1.0,0.9624999999999999,0.0775,0.0945,2,0.6699999999999999,6.925e-05,0.0002098,0.0003742,0.00052,0.081,0.081,0.074,0.066,0.29
Li-Mo-Sn,Li81Mo18Sn9,metallic,81,108,3,35.09,25.0,1.0,0.9484999999999999,0.094,0.0635,1,0.55,6.824e-05,0.0002127,0.0003593,0.0005706,0.144,0.094,0.063,0.094,0.299
Cs-Li-Sn,Cs4Li108Sn23,metallic,108,135,4,25.79,5.0,1.0,1.0045,0.10300000000000001,0.091,1,0.645,6.814e-05,0.0002136,0.0003611,0.000602,0.098,0.108,0.038,0.139,0.305
Ge-Li-Sn,Ge24Li72Sn12,network(B/C/Si/Ge),72,108,4,22.055,15.0,1.0,1.066,0.095,0.0555,2,0.32999999999999996,6.782e-05,0.0001577,0.0003216,0.0005599,0.141,0.068,0.086,0.104,0.295
