system,formula,anion_class,n_Li,natoms,n_conv_T,med_prod_ps,min_trun_ps,med_tlag_ps,med_beta,med_block_cv,med_Dwin_spread,charge_conv_T,med_haven,D_Li_1000K,D_Li_1500K,D_Li_2000K,D_Li_2500K,blockcv_1000K,blockcv_1500K,blockcv_2000K,blockcv_2500K,Ea_eV
Br-Li,Br25Li75,halide,75,100,3,31.445,7.5,1.0,1.072,0.067,0.10949999999999999,2,0.39,0.0001707,0.0003659,0.0006299,0.0008922,0.155,0.051,0.083,0.047,0.235
I-Li,I34Li68,halide,68,102,4,32.545,15.0,1.0,0.9225000000000001,0.20450000000000002,0.079,0,0.3,0.0001606,0.0003969,0.0005652,0.0009447,0.231,0.2,0.115,0.209,0.242
Li-O-W,Li80O15W5,oxide,80,100,4,33.545,5.0,1.0,1.04,0.11199999999999999,0.08099999999999999,1,0.235,8.767e-05,0.0002638,0.0004522,0.0007078,0.141,0.083,0.16,0.082,0.295
Cl-Li,Cl50Li50,halide,50,100,3,35.85,5.0,1.0,1.0070000000000001,0.1135,0.0905,0,1.05,8.32e-05,0.0002605,0.000345,0.0005382,0.09,0.137,0.207,0.029,0.259
Li-Se,Li75Se25,chalcogenide,75,100,3,28.785,5.0,1.0,0.991,0.0635,0.08549999999999999,1,2.81,7.712e-05,0.0002176,0.0003861,0.0005562,0.152,0.053,0.06,0.067,0.282
Li-Se-Sn,Li84Se14Sn7,chalcogenide,84,105,4,32.795,7.5,1.0,0.962,0.048,0.135,1,1.92,6.701e-05,0.0001877,0.0003958,0.00048,0.059,0.013,0.085,0.037,0.291
Cl-Li-Si,Cl32Li60Si8,halide,60,100,2,39.945,15.0,1.0,0.9904999999999999,0.10200000000000001,0.1305,3,2.7,6.686e-05,0.0001968,0.0004265,0.0005432,0.093,0.111,0.039,0.118,0.308
Li-S,Li75S25,chalcogenide,75,100,3,33.0,10.0,1.0,1.0345,0.108,0.08549999999999999,1,1.68,6.282e-05,0.0001586,0.0003148,0.0005524,0.264,0.108,0.108,0.053,0.303
Li-S-Sn,Li81S18Sn9,chalcogenide,81,108,3,30.655,15.0,1.0,0.9315,0.089,0.092,3,1.565,5.613e-05,0.0001928,0.0002679,0.0005201,0.1,0.067,0.147,0.078,0.303
Bi-Li-S,Bi15Li45S45,chalcogenide,45,105,3,32.785,25.0,1.0,0.9575,0.11549999999999999,0.11299999999999999,1,0.7,5.008e-05,0.0001584,0.0002648,0.000397,0.138,0.126,0.07,0.105,0.294
Li-P-Sn,Li42P27Sn36,pnictide,42,105,2,34.525000000000006,25.0,1.0,0.9365,0.1835,0.079,0,0.675,4.824e-05,0.0001484,0.0003473,0.000383,0.147,0.224,0.111,0.22,0.312
Li-N,Li75N25,pnictide,75,100,4,39.584999999999994,5.0,1.0,1.0194999999999999,0.07050000000000001,0.0505,0,1.64,4.728e-05,0.0001547,0.0002786,0.0004603,0.036,0.1,0.12,0.041,0.32
Li-S-Sb,Li50S40Sb10,chalcogenide,50,100,3,32.84,15.0,1.0,0.9255,0.172,0.124,2,0.385,4.661e-05,0.0001449,0.0003159,0.0005435,0.151,0.174,0.17,0.193,0.347
Cu-Li-S,Cu17Li51S34,chalcogenide,51,102,2,36.045,10.0,1.0,1.047,0.10500000000000001,0.138,1,0.46499999999999997,3.584e-05,0.0001351,0.000274,0.0004198,0.22,0.113,0.061,0.097,0.353
Li-S-Ti,Li36S36Ti9,chalcogenide,36,81,2,34.56,20.0,4.5,1.0005,0.16,0.187,1,1.12,3.522e-05,0.000122,0.0003038,0.0004098,0.267,0.112,0.208,0.044,0.36
Cu-Li-O-P,Cu5Li25O40P10,oxide,25,80,2,36.635000000000005,20.0,8.0,1.0405,0.1275,0.2575,0,1.6400000000000001,2.404e-05,8.682e-05,0.0002181,0.0001683,0.103,0.085,0.152,0.209,0.312
Li-P,Li75P25,pnictide,75,100,3,33.485,25.0,1.0,1.0394999999999999,0.144,0.07999999999999999,1,1.9249999999999998,1.673e-05,5.392e-05,0.0002502,0.0004247,0.485,0.146,0.056,0.142,0.472
Li-O-Sn,Li40O40Sn20,oxide,40,100,2,36.285,25.0,1.0,0.965,0.2115,0.1475,2,4.16,1.509e-05,6.484e-05,0.0001337,0.0002231,0.45,0.243,0.18,0.092,0.384
Li-Rb-Se,Li34Rb34Se34,chalcogenide,34,102,2,34.155,15.0,5.5,0.9325,0.1245,0.18,3,0.585,1.292e-05,6.267e-05,0.0002054,0.0003384,0.146,0.103,0.213,0.071,0.474
Al-K-Li-P,Al17K34Li17P34,pnictide,17,102,2,20.245,15.0,1.0,0.8089999999999999,0.24,0.224,2,1.6949999999999998,9.225e-06,6.725e-05,0.0001321,0.0003497,0.758,0.226,0.254,0.1,0.501
Li-O-Zn,Li50O45Zn20,oxide,50,115,3,31.270000000000003,15.0,1.0,0.971,0.1155,0.121,2,0.915,7.65e-06,6.041e-05,0.0001328,0.0002286,0.263,0.095,0.136,0.094,0.487
Ga-Li-O,Ga10Li50O40,oxide,50,100,2,23.17,15.0,1.0,1.0175,0.08499999999999999,0.17149999999999999,3,1.0,7.393e-06,6.133e-05,0.0001696,0.0002777,0.392,0.039,0.076,0.094,0.526
Li-O-V,Li20O60V20,oxide,20,100,2,38.735,25.0,1.25,0.962,0.14100000000000001,0.1365,2,1.25,7.251e-06,6.647e-05,0.0001443,0.0001829,0.457,0.155,0.127,0.054,0.477
As-Li-O,As20Li20O60,oxide,20,100,2,31.810000000000002,20.0,10.0,0.957,0.181,0.27349999999999997,0,1.725,5.941e-06,8.326e-05,0.0001256,0.000281,0.296,0.197,0.143,0.165,0.539
